question,ground_truth_answer,source_document,supporting_context,topic
2. What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but dont develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",COVID19_FAQ,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but dont develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention.",symptoms
How long can a person spread COVID-19?,"At this time, it appears that persons can shed SARSCoV 2 virus about 2 days before becoming ill and up to 8 days after symptoms onset. CDC has recently changed the home isolation for known cases of COVID 19 due to this updated information. It is now known that persons can be asymptomatic with COVID 19. So, it is important that persons continue measures including social distancing, respiratory hygiene, and the use of cloth face coverings in persons 2 years of age and older to reduce the spread of this virus. health officials do not know when someone with COVID-19 becomes contagious.",COUGH_FAQ_BANK,"At this time, it appears that persons can shed SARSCoV 2 virus about 2 days before becoming ill and up to 8 days after symptoms onset. CDC has recently changed the home isolation for known cases of COVID 19 due to this updated information. It is now known that persons can be asymptomatic with COVID 19. So, it is important that persons continue measures including social distancing, respiratory hygiene, and the use of cloth face coverings in persons 2 years of age and older to reduce the spread of this virus. health officials do not know when someone with COVID-19 becomes contagious.",transmission
What kind of pertussis vaccine is used in middle and high income countries?,acellular,COVID-QA_MASTER,"Population-Based Pertussis Incidence and Risk Factors in Infants Less Than 6 Months in Nepal https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5907881/ SHA: ef821e34873d4752ecae41cd9dfc08a5e6db45e2 Authors: Hughes, Michelle M; Englund, Janet A; Kuypers, Jane; Tielsch, James M; Khatry, Subarna K; Shrestha, Laxman; LeClerq, Steven C; Steinhoff, Mark; Katz, Joanne Date: 2017-03-01 DOI: 10.1093/jpids/piw079 License: cc-by Abstract: BACKGROUND: Pertussis is estimated to cause 2 percent of childhood deaths globally and is a growing public health problem in developed countries despite high vaccination",vaccination
Are there any vaccines against to protect against respiratory viral infections?,"Currently, there are no approved vaccines or medications available for most of the respiratory viruses",COVID-QA_MASTER,"A 3-year prospective study of the epidemiology of acute respiratory viral infections in hospitalized children in Shenzhen, China https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4181804/ SHA: ef5fe7296ec8baf90d974cf5737af0da3ed403ea Authors: He, Ying; Lin, Guang-Yu; Wang, Qiong; Cai, Xiao-Ying; Zhang, Yin-Hui; Lin, Chuang-Xing; Lu, Chang-Dong; Lu, Xue-Dong Date: 2014-05-14 DOI: 10.1111/irv.12257 License: cc-by Abstract: BACKGROUND: The epidemiology of local viral etiologies is essential for the management of viral respiratory tract infections. Limited data are available in China to describe th",vaccination
What is the global coverage of influenza and pneumonia vaccines?,"By the end of 2015, Haemophilus influenzae type B conjugate vaccination had been introduced in 73 countries, with global coverage estimated at 68%. However, inequities are still apparent among regions: in the Americas coverage is estimated at 90%, while in the Western Pacific it is only 25%. By 2015, pneumococcal conjugate vaccination had been introduced into 54 countries, with global coverage of 35% for three doses of pneumococcal conjugate vaccination for infant populations",COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",vaccination
6. I am well and asymptomatic. Should I use a mask?,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community.",COVID19_FAQ,"According to the WHO, for individuals without respiratory symptoms, a medical mask is not required, as no evidence is available on its usefulness to protect non-sick persons. However, masks might be worn in some countries according to local cultural habits. If masks are used, best practices should be followed on how to wear, remove, and dispose of them and on hand hygiene action after removal. For more information, visit the WHO guidance on use of masks in the community.",symptoms
Should hepatitis A and hepatitis B vaccines continue to be administered to adults at risk for hepatitis A or hepatitis B?,"Yes. Continue to administer these vaccines if an in-person visit must be scheduled for some other purpose and the clinical preventive service can be delivered during that visit with no additional risk; or an individual patient and their clinician believe that there is a compelling need to receive the service based on an assessment that the potential benefit outweighs the risk of exposure to SARS-CoV-2 virus. For more information see Delivery of Adult Clinical Preventive Services, Including Immunizations.",COUGH_FAQ_BANK,"Yes. Continue to administer these vaccines if an in-person visit must be scheduled for some other purpose and the clinical preventive service can be delivered during that visit with no additional risk; or an individual patient and their clinician believe that there is a compelling need to receive the service based on an assessment that the potential benefit outweighs the risk of exposure to SARS-CoV-2 virus. For more information see Delivery of Adult Clinical Preventive Services, Including Immunizations.",vaccination
"What are the recommendations for individuals, especially vulnerable persons, in slowing the spread of COVID-19?","The following are recommendations for individuals under the Safer at Home health order: Minimizing travel outside the home, especially if sick. Wearing face coverings around people from other households when it is necessary to leave the home. Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces Refraining from touching one's face. Sneezing or coughing into a tissue, or the inside of one's elbow. Disinfecting frequently used items and surfaces as much as possible.",COUGH_FAQ_BANK,"The following are recommendations for individuals under the Safer at Home health order: Minimizing travel outside the home, especially if sick. Wearing face coverings around people from other households when it is necessary to leave the home. Washing hands frequently with soap and water or hand sanitizer, especially after touching frequently used items or surfaces Refraining from touching one's face. Sneezing or coughing into a tissue, or the inside of one's elbow. Disinfecting frequently used items and surfaces as much as possible.",transmission
How can CCR5's effect in HIV-1 transmission be reduced?,The 32-pb deletion polymorphism in CCR5 has be shown to protect from vertical transmission of HIV-1,COVID-QA_MASTER,"Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752805/ Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel 2009-10-07 DOI:10.1371/journal.pone.0007211 License:cc-by Abstract: BACKGROUND: Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or l",transmission
What is the distance between the p4.7 and p12.7 genes in the Irish versus Japanese equine coronavirus variants?,544 base pairs,COVID-QA_MASTER,"The First Detection of Equine Coronavirus in Adult Horses and Foals in Ireland https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6832964/ SHA: eee5a9068ade4c6776f189045115a90a5785e983 Authors: Nemoto, Manabu; Schofield, Warren; Cullinane, Ann Date: 2019-10-14 DOI: 10.3390/v11100946 License: cc-by Abstract: The objective of this study was to investigate the presence of equine coronavirus (ECoV) in clinical samples submitted to a diagnostic laboratory in Ireland. A total of 424 clinical samples were examined from equids with enteric disease in 24 Irish counties between 2011 and 2015. A real-time",prevention
What are the symptoms of H5N1 infection in humans?,"fever, encephalitis, pneumonia, and severe acute respiratory syndrome (SARS)",COVID-QA_MASTER,"Immunomodulatory Activity and Protective Effects of Polysaccharide from Eupatorium adenophorum Leaf Extract on Highly Pathogenic H5N1 Influenza Infection https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3789439/ SHA: efba2008a6ccf1ad2614aebd79a6a741ea6538b9 Authors: Jin, Yi; Zhang, Yuewei; Wan, Chunyan; Wang, Hongjun; Hou, Lingyu; Chang, Jianyu; Fan, Kai; Xie, Xiangming Date: 2013-09-18 DOI: 10.1155/2013/194976 License: cc-by Abstract: The development of novel broad-spectrum, antiviral agents against H5N1 infection is urgently needed. In this study, we evaluated the immunomodulatory activities",symptoms
How are the studies on B-cells helping the development of a universal influenza vaccine?,"Influenza also performs fusion through the stem region of the hemagglutinin protein, and the identification of B cells that target this relatively conserved site has spurred research on the development of a universal influenza vaccine (",COVID-QA_MASTER,"Techniques to Study Antigen-Specific B Cell Responses https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6667631/ SHA: ee632fa425607e8ff91fc3730bc0782d43ce9c0c Authors: Boonyaratanakornkit, Jim; Taylor, Justin J. Date: 2019-07-24 DOI: 10.3389/fimmu.2019.01694 License: cc-by Abstract: Antibodies against foreign antigens are a critical component of the overall immune response and can facilitate pathogen clearance during a primary infection and also protect against subsequent infections. Dysregulation of the antibody response can lead to an autoimmune disease, malignancy, or enhanced infection. Sin",vaccination
10. Are the symptoms of COVID-19 different in children than in adults?,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. Its not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children.",COVID19_FAQ,"No. The symptoms of COVID-19 are similar in children and adults. However, children with confirmed COVID-19 have generally presented with mild symptoms. Reported symptoms in children include cold-like symptoms, such as fever, runny nose, and cough. Vomiting and diarrhea have also been reported. Its not known yet whether some children may be at higher risk for severe illness, for example, children with underlying medical conditions and special healthcare needs. There is much more to be learned about how the disease impacts children.",symptoms
What is the percentage reduction in pneumonia cases due to vaccination?,"Haemophilus influenzae type B conjugate vaccination in high-burden communities, the vaccination was associated with an 18% decrease in radiologic pneumonia [13] . Introduction of pneumococcal conjugate vaccination was associated with a 26% decrease in radiologic pneumonia in California between 1995 and 1998 [14] . In vaccine efficacy trials in low-and middle-income countries, pneumococcal conjugate vaccination reduced radiologic pneumonia by 37% in the Gambia [15] , 25% in South Africa [16] and 26% in the Philippines",COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",vaccination
Why is their controversy surrounding the FIPV vaccine?,"the vaccine contains type 2 strain, whereas type 1 viruses are more prevalent in the field",COVID-QA_MASTER,"In Vitro Antiviral Activity of Circular Triple Helix Forming Oligonucleotide RNA towards Feline Infectious Peritonitis Virus Replication https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3950953/ SHA: f5ad2323eb387f6e271e2842bb2cc4a33504fde3 Authors: Choong, Oi Kuan; Mehrbod, Parvaneh; Tejo, Bimo Ario; Omar, Abdul Rahman Date: 2014-02-20 DOI: 10.1155/2014/654712 License: cc-by Abstract: Feline Infectious Peritonitis (FIP) is a severe fatal immune-augmented disease in cat population. It is caused by FIP virus (FIPV), a virulent mutant strain of Feline Enteric Coronavirus (FECV). Current treatmen",vaccination
Should routinely recommended hepatitis A and hepatitis B vaccines continue to be administered to children?,"Routine hepatitis A and hepatitis B vaccination of children should continue to the extent possible, according to the CDC immunization schedules. Maintaining Childhood Immunizations During COVID-19 Pandemic The COVID-19 pandemic is changing rapidly and continues to affect communities across the United States differently. Some of the strategies used to slow the spread of disease in communities include postponing or cancelling non-urgent elective procedures and using telemedicine instead of face-to-face encounters for routine medical visits. Different strategies are needed to ensure the delivery of newborn care and well-child care, including childhood immunizations. Healthcare providers in communities affected by COVID-19 are using strategies to separate well visits from sick visitsexternal icon. Examples include: Scheduling well visits in the morning and sick visits in the afternoon. Separating patients spatially, such as by placing patients with sick visits in different areas of the clinic or another location from patients with well visits. Collaborating with providers in the community to identify separate locations for holding well visits for children. Because of personal, practice, or community circumstances related to COVID-19, some providers may not be able to provide well-child care, including immunizations, for all patients in their practice. If a practice can provide only limited well-child visits, healthcare providers are encouraged to prioritize newborn care and vaccination of infants and young children (through 24 months of age) when possible. CDC is monitoring the situation and will continue to provide guidance.",COUGH_FAQ_BANK,"Routine hepatitis A and hepatitis B vaccination of children should continue to the extent possible, according to the CDC immunization schedules. Maintaining Childhood Immunizations During COVID-19 Pandemic The COVID-19 pandemic is changing rapidly and continues to affect communities across the United States differently. Some of the strategies used to slow the spread of disease in communities include postponing or cancelling non-urgent elective procedures and using telemedicine instead of face-to-face encounters for routine medical visits. Different strategies are needed to ensure the delivery of newborn care and well-child care, including childhood immunizations. Healthcare providers in communities affected by COVID-19 are using strategies to separate well visits from sick visitsexternal icon. Examples include: Scheduling well visits in the morning and sick visits in the afternoon. Separating patients spatially, such as by placing patients with sick visits in different areas of the clinic or another location from patients with well visits. Collaborating with providers in the community to identify separate locations for holding well visits for children. Because of personal, practice, or community circumstances related to COVID-19, some providers may not be able to provide well-child care, including immunizations, for all patients in their practice. If a practice can provide only limited well-child visits, healthcare providers are encouraged to prioritize newborn care and vaccination of infants and young children (through 24 months of age) when possible. CDC is monitoring the situation and will continue to provide guidance.",vaccination
"If you've already had COVID-19, can you get it again? Do you still need to wear a mask and practice social distancing?","Due to the SARSCoV 2 being a novel (new) virus, there is not clear scientific evidence concerning the body's ability to develop long term immunity. So, even if a person has had COVID 19 and has recovered, the person should still maintain social distancing, follow good hand washing or hand sanitizing practices, and wear a cloth face covering when in public.",COUGH_FAQ_BANK,"Due to the SARSCoV 2 being a novel (new) virus, there is not clear scientific evidence concerning the body's ability to develop long term immunity. So, even if a person has had COVID 19 and has recovered, the person should still maintain social distancing, follow good hand washing or hand sanitizing practices, and wear a cloth face covering when in public.",prevention
What should you do if you have symptoms?,"If you have symptoms, please stay home! If the symptoms require medical attention, seek a healthcare provider. If you have been in direct contact with someone who has been confirmed with the COVID-19 virus and you develop symptoms, notify your healthcare provider. Supply them with information regarding your symptoms and that you have had contact with a confirmed case. Do not go to your healthcare provider or an emergency room without contacting your provider or the emergency room first so they may take precautions to protect you and others. If possible, wear a mask or cloth face covering while around others.",COUGH_FAQ_BANK,"If you have symptoms, please stay home! If the symptoms require medical attention, seek a healthcare provider. If you have been in direct contact with someone who has been confirmed with the COVID-19 virus and you develop symptoms, notify your healthcare provider. Supply them with information regarding your symptoms and that you have had contact with a confirmed case. Do not go to your healthcare provider or an emergency room without contacting your provider or the emergency room first so they may take precautions to protect you and others. If possible, wear a mask or cloth face covering while around others.",symptoms
What is the role of C-C Motif Chemokine Ligand 3 Like 1 (CCL3L1) in mother to child transmission of HIV-1?,"High copy numbers of CCL3L1, a potent HIV-1 suppressive ligand for CCR5, are associated with higher chemokine production and lower risk of MTCT of HIV-1 among South African infants",COVID-QA_MASTER,"Functional Genetic Variants in DC-SIGNR Are Associated with Mother-to-Child Transmission of HIV-1 https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2752805/ Boily-Larouche, Geneviève; Iscache, Anne-Laure; Zijenah, Lynn S.; Humphrey, Jean H.; Mouland, Andrew J.; Ward, Brian J.; Roger, Michel 2009-10-07 DOI:10.1371/journal.pone.0007211 License:cc-by Abstract: BACKGROUND: Mother-to-child transmission (MTCT) is the main cause of HIV-1 infection in children worldwide. Given that the C-type lectin receptor, dendritic cell-specific ICAM-grabbing non-integrin-related (DC-SIGNR, also known as CD209L or l",transmission
5. What can I do to protect myself and prevent the spread of disease?,"Protection measures for everyone Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news. You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions: Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands. Maintain at least 1 meter (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes, they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease. Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick. Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and COVID-19. Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections. Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas.",COVID19_FAQ,"Protection measures for everyone Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news. You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions: Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water. Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands. Maintain at least 1 meter (3 feet) distance between yourself and anyone who is coughing or sneezing. Why? When someone coughs or sneezes, they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease. Avoid touching eyes, nose and mouth. Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick. Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately. Why? Droplets spread virus. By following good respiratory hygiene, you protect the people around you from viruses such as cold, flu and COVID-19. Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority. Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections. Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â‚¬Å¡Ã‚Â¬ÃƒÂ¢Ã¢â€šÂ¬Ã…â€œ especially if you are an older person or have diabetes, heart or lung disease. Why? You have a higher chance of catching COVID-19 in one of these areas.",transmission
What chest diseases and pneumonia were identified as leading causes prior to the availability of vaccines?,"prior to availability of new conjugate vaccines confirmed S. pneumoniae and H. influenzae type B as the most important bacterial causes of pneumonia, with Staphylococcus aureus and Klebsiella pneumoniae associated with some severe cases. Respiratory syncytial virus was the leading viral cause, identified in 15-40% of pneumonia cases, followed by influenza A and B, parainfluenza, human metapneumovirus and adenovirus",COVID-QA_MASTER,"Community-acquired pneumonia in children — a changing spectrum of disease https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5608782/ SHA: eecb946b106a94f26a79a964f0160e8e16f79f42 Authors: le Roux, David M.; Zar, Heather J. Date: 2017-09-21 DOI: 10.1007/s00247-017-3827-8 License: cc-by Abstract: Pneumonia remains the leading cause of death in children outside the neonatal period, despite advances in prevention and management. Over the last 20 years, there has been a substantial decrease in the incidence of childhood pneumonia and pneumonia-associated mortality. New conjugate vaccines against Hae",vaccination
What are the symptoms of HBoV1 infection?,"cough, rhinitis, fever",COVID-QA_MASTER,"Epidemiology of HBoV1 infection and relationship with meteorological conditions in hospitalized pediatric patients with acute respiratory illness: a 7-year study in a subtropical region https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048719/ SHA: f2f78c95ab378a31bd35dc1de84e0ec75eb7ce1b Authors: Liu, Wen-Kuan; Liu, Qian; Chen, De-Hui; Tan, Wei-Ping; Cai, Yong; Qiu, Shu-Yan; Xu, Duo; Li, Chi; Li, Xiao; Lin, Zheng-Shi; Zhou, Rong Date: 2018-07-16 DOI: 10.1186/s12879-018-3225-3 License: cc-by Abstract: BACKGROUND: Human bocavirus 1 (HBoV1) is an important cause of acute respiratory illness (ARI",symptoms
